station,datetime,lon,lat,elev,precip
3HT,2005-06-01 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-01 14:36,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-01 15:58,-109.8400,46.4200,1300.00,
3HT,2005-06-01 16:33,-109.8400,46.4200,1300.00,
3HT,2005-06-01 19:50,-109.8400,46.4200,1300.00,
3HT,2005-06-01 22:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-02 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-02 15:35,-109.8400,46.4200,1300.00,
3HT,2005-06-02 22:58,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-03 13:32,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-03 14:48,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-03 15:31,-109.8400,46.4200,1300.00,
3HT,2005-06-03 16:45,-109.8400,46.4200,1300.00,
3HT,2005-06-03 19:30,-109.8400,46.4200,1300.00,
3HT,2005-06-03 22:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-04 13:33,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-04 14:31,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-04 19:43,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-04 23:48,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-05 13:40,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-05 14:34,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-05 15:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-05 22:40,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-06 13:50,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-06 14:40,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-06 15:37,-109.8400,46.4200,1300.00,
3HT,2005-06-06 23:10,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-07 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-07 15:30,-109.8400,46.4200,1300.00,
3HT,2005-06-07 19:40,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-07 22:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-08 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-09 13:32,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-09 14:47,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-09 19:40,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-09 22:46,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-10 13:38,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-10 14:32,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-10 16:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-11 13:46,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-11 19:58,-109.8400,46.4200,1300.00,
3HT,2005-06-11 22:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-12 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-12 14:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-12 15:50,-109.8400,46.4200,1300.00,
3HT,2005-06-12 22:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-13 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-13 14:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-13 15:30,-109.8400,46.4200,1300.00,
3HT,2005-06-13 16:45,-109.8400,46.4200,1300.00,
3HT,2005-06-13 22:40,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-14 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-14 14:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-14 16:40,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-14 19:50,-109.8400,46.4200,1300.00,
3HT,2005-06-14 22:50,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-15 13:50,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-15 14:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-15 22:45,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-16 13:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-16 14:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-16 15:45,-109.8400,46.4200,1300.00,
3HT,2005-06-16 23:55,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-17 13:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-17 14:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-17 15:35,-109.8400,46.4200,1300.00,
3HT,2005-06-17 22:50,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-18 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-18 15:40,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-18 22:56,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-19 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-19 14:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-19 19:25,-109.8400,46.4200,1300.00,
3HT,2005-06-19 22:39,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-20 13:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-20 14:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-20 15:35,-109.8400,46.4200,1300.00,
3HT,2005-06-20 19:45,-109.8400,46.4200,1300.00,
3HT,2005-06-20 22:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-21 13:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-21 14:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-22 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-22 14:40,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-22 15:45,-109.8400,46.4200,1300.00,
3HT,2005-06-22 16:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-22 19:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-22 22:37,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-23 15:00,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-23 16:30,-109.8400,46.4200,1300.00,
3HT,2005-06-23 20:30,-109.8400,46.4200,1300.00,
3HT,2005-06-23 23:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-24 14:50,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-24 15:30,-109.8400,46.4200,1300.00,
3HT,2005-06-24 16:35,-109.8400,46.4200,1300.00,
3HT,2005-06-24 19:30,-109.8400,46.4200,1300.00,
3HT,2005-06-24 22:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-25 14:45,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-25 15:35,-109.8400,46.4200,1300.00,
3HT,2005-06-25 23:20,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-26 14:58,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-26 16:45,-109.8400,46.4200,1300.00,
3HT,2005-06-26 22:58,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-27 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-27 15:45,-109.8400,46.4200,1300.00,
3HT,2005-06-27 19:55,-109.8400,46.4200,1300.00,
3HT,2005-06-27 22:55,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-28 14:45,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-28 15:30,-109.8400,46.4200,1300.00,
3HT,2005-06-28 17:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-29 13:41,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-29 14:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-29 15:45,-109.8400,46.4200,1300.00,
3HT,2005-06-29 19:30,-109.8400,46.4200,1300.00,
3HT,2005-06-29 22:47,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-30 13:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-30 14:33,-109.8400,46.4200,1300.00,0.00
3HT,2005-06-30 16:50,-109.8400,46.4200,1300.00,
3HT,2005-06-30 23:20,-109.8400,46.4200,1300.00,0.00
3HT,2005-07-01 13:35,-109.8400,46.4200,1300.00,0.00
3HT,2005-07-01 14:40,-109.8400,46.4200,1300.00,0.00
3HT,2005-07-01 16:33,-109.8400,46.4200,1300.00,
3HT,2005-07-01 22:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-07-02 13:30,-109.8400,46.4200,1300.00,0.00
3HT,2005-07-02 14:32,-109.8400,46.4200,1300.00,0.00
3HT,2005-07-02 23:20,-109.8400,46.4200,1300.00,0.00
3HT,2005-07-03 13:46,-109.8400,46.4200,1300.00,0.00
