station,datetime,lon,lat,elev,precip
88M,2011-01-18 17:16,-115.0764,48.9738,813.00,0.00
88M,2011-01-18 17:36,-115.0764,48.9738,813.00,0.00
88M,2011-01-18 17:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 01:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 01:36,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 01:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 02:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 02:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 02:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 03:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 03:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 03:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 04:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 04:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 04:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 05:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 05:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 05:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 06:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 06:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 06:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 07:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 07:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 07:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 08:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 08:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 08:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 09:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 09:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 09:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 10:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 10:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 10:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 11:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 11:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 11:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 12:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 12:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 12:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 13:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 13:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 13:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 14:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 14:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 14:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 15:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 15:37,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 15:57,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 16:17,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 16:36,-115.0764,48.9738,813.00,0.00
88M,2011-01-19 16:57,-115.0764,48.9738,813.00,0.00
